City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Bukama,CD,-9.2,25.85,68.95,43,100,3.47,overcast clouds
331,Margate,GB,51.3813,1.3862,64.31,83,99,3.0,overcast clouds
332,Adeje,ES,28.1227,-16.726,81.88,73,1,5.75,clear sky
333,Luau,AO,-10.7073,22.2247,60.64,43,12,4.81,few clouds
334,Mahajanga,MG,-15.7167,46.3167,64.42,77,0,4.61,clear sky
335,Ketchikan,US,55.3422,-131.6461,57.49,90,100,5.44,overcast clouds
336,Paamiut,GL,61.994,-49.6678,42.6,93,9,2.08,clear sky
337,Eenhana,NA,-17.4667,16.3333,57.15,41,0,6.35,clear sky
338,Nanortalik,GL,60.1432,-45.2371,43.11,93,100,9.95,overcast clouds
339,The Valley,AI,18.217,-63.0578,81.1,75,0,20.09,clear sky
340,Wanlaweyn,SO,2.6185,44.8938,71.76,88,75,13.71,broken clouds
341,Kuala Terengganu,MY,5.3302,103.1408,82.35,83,20,5.01,few clouds
342,Akdepe,TM,42.0551,59.3788,83.19,39,0,12.44,clear sky
343,Constitucion,CL,-35.3333,-72.4167,53.56,91,100,1.07,moderate rain
344,Flinders,AU,-34.5833,150.8552,67.37,71,1,1.99,clear sky
345,Brandon,US,27.9378,-82.2859,80.51,90,81,4.0,broken clouds
346,West Helena,US,34.5507,-90.6418,83.95,61,57,8.81,broken clouds
347,Normal,US,40.5142,-88.9906,81.68,81,0,10.36,clear sky
